"번호","운영기관명","상품명","운영기관구분","상품구분","학자금유형구분","대학구분","학년구분","학과구분","성적기준 상세내용","소득기준 상세내용","지원내역 상세내용","특정자격 상세내용","지역거주여부 상세내용","선발방법 상세내용","선발인원 상세내용","자격제한 상세내용","추천필요여부 상세내용","제출서류 상세내용","홈페이지 주소","모집시작일","모집종료일"
"799 ","재단법인연당장학회","연당장학생","기타","장학금","성적우수","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","특정학과","○ 직전학기 누계성적 3.3 이상(4.3만점)","○ 가정형편이 어려운 학생","○ 250만원","○ 25년도 1학기 장학생 재추천 또는 신규학생 추천※ 자세한 사항은 각 학교 장학부서 문의","해당없음","※ 기관확인 필요","○ 1명※ 자세한 사항은 각 학교 장학부서 문의","※ 기관확인 필요","○ 지도교수 추천","○ 연당장학생 추천서○ 장학금 추천서○ 성적증명서○ 2024년 지방세 세목별 과세증명서 부모 각 1부○ 2024년 1~12월 건강보험료 납부확인서 및 건강보험증 사본(또는 자격득실확인서) 부모 각 1부○ 주민등록등본○ 기타 가계곤란 증빙서류(해당자)○ 기존장학생(재추천)의 경우 성적증명서 제출※ 자세한 사항은 각 학교 장학부서 문의","해당없음","2025-02-14","2025-02-23"
"800 ","재단법인 엠비케이장학재단","MBK장학생","기타","장학금","성적우수","해당없음","해당없음","해당없음","해당없음","해당없음","○ 입학금 전액○ 등록금 전액 (한 학기 평점 3.0 이상 유지시)○ 교재비 20만원 (한 학기)○ 학업장려비 300 ~ 150만원 (매 학기/해당자)○ 성적우수장학금 50만원 (한 학기/평점 4.0 이상)○ 교환학생장학금 500만원 (1회/해당자)※ 자세한 내용은 첨부파일 및 기관 홈페이지 참고","○ 2025년도 국내 4년제 대학 입학 예정자로서 어려운 생활 및 학업 환경 속에서도 우수한 성적과 미래의 지도자로서의 잠재력을 가지고 있는 학생","해당없음","○ 서류심사○ 면접심사","※ 기관확인 필요","○ 타 재단 장학금 중복 수혜자(한국장학재단 국가장학금 예외)","해당없음","○ 지원서○ 대학수학능력시험 성적표○ 대학합격증명서(합격통지서)○ 학교생활기록부 사본○ 지방세 세목별 과세(납세)증명서○ 근로소득 원천징수 영수증 또는 소득금액증명원○ 건강·장기요양보험료 납부확인서/건강보험 자격득실확인서○ 주민등록등본/가족관계증명서○ 개인정보 수집·이용 동의서○ 자기소개서○ 기타 가계곤란 증빙서류※ 자세한 내용은 첨부파일 참고","http://www.mbkscholars.org","2025-01-02","2025-01-13"
"801 ","(재)문봉장학회","문봉장학금","기타","장학금","기타","특정대학","대학8학기이상","의약계열/특정학과","해당없음","해당없음","○ 등록금 전액/1년","○ 20241학기 6학년 재학 예정인 이화여자대학교 정규등록 약대 학부생○ 성적우수자○ 가계곤란자","해당없음","※ 기관확인 필요","○ 1명","○ 타 장학금 수혜불가 장학금을 수혜하고 있는 학생 지원 불가○ 타 장학금(전액) 수혜자 (전액이 아닐 경우 등록금 잔액을 장학금으로 지급)○ 수혜자는 연 2회 재단 방문해야 함","○ 전공교수 추천: 약대 교원 모두 작성 가능","○ 장학금 지급신청서○ 전공교수 추천서○ 주민등록등본○ 가족관계증명서 (해당자)○ 2024년 지방세 세목별(토지/주택/건물) 과세증명서 부·모 각1부○ 건강보험증 사본 및 건강보험자격확인서○ 2024년 1~12월 건강보험료 납부확인서 / 자격득실확인서○ 타 장학금 신청내역서○ 성적증명서○ 재학증명서※ 자세한 사항은 이화여자대학교 약학대학 학과홈페이지 내 공고 참조","http://cms.ewha.ac.kr","2025-02-07","2025-02-12"
"802 ","동서식품장학회","장학생","기타","장학금","소득구분","해당없음","해당없음","해당없음","○ 전체학기 평균평점 B+이상인 자","○ 재산세 10만원 미만을 납부하고 있는 가정형편이 어려운 학생","○ 등록금 전액(예정)","○ 2025학년도 1학기 이공계열을 전공으로 한 정규학기 내 재학예정인 자","해당없음","※ 각 학교에서 추천 받아 선발하는 방식","○ 2명 (학교별 선발인원 상이할 수 있음)","○ 휴학(예정)생/초과학기생/복수전공/복수학위제 학생 지원불가가","해당없음","○ 자기소개서 (A4 2매 이내)○ 신상명세서 (재단양식)○ 통장사본(학생명의)○ 주민등록등본○ 전학년 성적증명서○ 재산세 비과세 증명서※ 각 학교마다 상이함","https://www.dongsuh.co.kr/","2025-02-19","2025-02-24"
"803 ","숭덕육영회","장학생","기타","장학금","지역연고","4년제(5~6년제포함)/기술대학/원격대학/일반대학원/전문대(2~3년제)/전문대학원/제한없음/학점은행제 대학/해외대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/박사과정/석사2학기이상/석사신입생(1학기)/연령제한/제한없음","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ 직전학기 성적 70% 이상인 자","해당없음","※ 기관확인 필요","○ 기숙사 공동생활 가능자○ 정원의 10%(3명) 이내로 서울에 주소지가 있는 학생도 본 법인의 정신과 함께 할 수 있는 학생○ 신입생 지원가능","○ 지방 출신 남학생으로 서울 소재 대학교에 재학 중인 학부생 또는 대학원생","※ 기관확인 필요","○ 남 30명 (기숙사 생활)","※ 기관확인 필요","해당없음","○ 홈페이지 또는 첨부파일 참고","http://www.sdcnd.org/","2024-08-05","2024-08-17"
"804 ","(재)제주평생교육장학진흥원","재능장학금","지자체(출자출연기관)","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","○ 200만원","○ 대회(개인전/단체전에 출전한 개인/단체 경기 종목) 최고 입상 성적 1개만 인정○ 최근 2년 이내 전국 단위 이상 대회에서 3위 이내 입상한 최고성적 1건에 대한 평가","○ 학생과 그 보호자가 제주특별자치도내 공고일까지 총 5년 이상 주민등록이 되어 있었고 공고일 기준 학생 또는 보호자가 도내 주민등록이 되어 있는 자","○ 대회규모(또는 권위) > 순위 > 수상 횟수 순※ 장학생선발심사위원회에서 심의선발하여 결정","○ 20명","○ 공고일 1년 이내 정학 이상의 징계 처분을 받았거나 휴학 등의 사유로 1학기 이상 학업을 계속하지 아니한 자 (군복무 제외)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 해당 대학교 학과장 추천","○ 제주인재육성장학금 신청서○ 장학생 추천서○ 개인정보 수집·이용·제3자 제공 동의서○ 학생 주민등록표초본○ 부 또는 모(보호자) 주민등록표초본○ 재학증명서○ 대회 입상 실적 작성서○ 실적 증빙서류○ 통장사본○ 가족관계증명서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://jiles.or.kr/index.htm","2025-06-02","2025-06-20"
"805 ","울산광역시 남구장학재단","특기장학생","지자체(출자출연기관)","장학금","특기자","해당없음","해당없음","해당없음","해당없음","해당없음","○ 연간 최대 400만원 (상/하반기 분할 지급)","○ 국내 대학교 신입생 또는 재학생○ 전국단위 규모(광역시·도 자치단체 이상) 이상의 대회 3위 이내 입상한 자○ 국제단위 규모(2개국 이상) 대회에서 3위 이내 입상한 자","○ 신청일 현재 가족의 전부 또는 일부가 울산 남구에 1년 이상 거주 (신청일까지 계속해서 남구에 거주해야 함)○ 초·중·고 중 한 개 학교를 울산 남구 소재 학교에서 졸업한 학생","○ 성적 70점 + 생활정도 30점○ 이사회에서 심의하여 최종 선발※ 자세한 기준 및 가산점은 첨부파일 참고","○ 총 42명 (성적우수 장학생 포함)※ 분야별 자세한 선발인원은 기관확인 필요","○ 등록금을 타 기관·학교·부모의 직장 등으로부터 전액 수혜받는 자○ 1세대 1명만 신청 가능○ 장학금 지급 횟수 2회로 제한※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 담당교수 또는 담당교사 추천","○ 장학금 지원 신청서○ 자기소개서○ 장학생 추천서○ 주민등록등본(주소변동사항 기재)○ 개인정보 수집·이용·제공 및 조회 동의서○ 학생명의 보통예금통장 사본○ 자원봉사 활동 확인서(해당자)○ 가족관계증명서(다자녀가구 가산점 해당자)○ 서약서○ 전국단위 규모(광역시·도 자치단체 이상) 이상의 대회 3위 이내 입상성적 사본○ 국제단위 규모(2개국 이상) 대회에서 3위 이내 입상성적 사본○ 부모 건강보험 납부확인서 또는 자격득실확인서※ 입상성적 유효기간은 공고일 기준 직전 1년 이내※ 자세한 사항은 첨부파일 참고","http://www.unsf.or.kr/","2025-03-10","2025-03-14"
"806 ","울산광역시 남구장학재단","소상공인대학생자녀장학생","지자체(출자출연기관)","장학금","기타","해당없음","해당없음","해당없음","○ 1학년 재학생은 성적 기준을 적용하지 않음○ 2학년 이상 재학생은 직전 2개 학기 평균평점이 4.5 만점인 경우 2.7점 / 4.3 만점인 경우 2.42점 이상인 학생","해당없음","○ 200만원(생활비성 장학금)","○ 소상공인 자격 기준  사업자 등록을 하고 공고일 기준 휴/폐업 상태가 아닌 자영업자  소상공인기본법 제2조 및 동법 시행령 제3조에 따른 소상공인  중소기업기본법 시행령 제8조제1항 관련 평균매출액 10억원 이하※ 자세한 사항은 첨부파일 참조","○ 신청일 현재 가족의 전부 또는 일부가 1년 이상 남구에 주민등록이 되어 있어야 함○ 남구지역 소재 초/중/고 중 1개 학교를 졸업한 학생○ 사업장 소재지가 남구인 소상공인 자녀","※ 자세한 사항은 첨부파일 참조","○ 60명","○ 휴학생·대학원생·해외 유학생○ 방송통신대·사이버대·학점은행제 등 유사대학의 재학생○ 대기업 운영 프랜차이즈 직영점 또는 가맹점○ 휴/폐업중인 사업자·무점포 사업자 및 인터넷전자상거래 사업자○ 학생 본인 사업자○ 해당 장학금 2회 이상 선발자※ 1가족 내 대학생 2명 이상일 경우 1명만 지원 가능※ 자세한 사항은 첨부파일 참조","해당없음","○ 장학생 지원 신청서○ 재학증명서(2024년 2학기)○ 직전 2개학기 성적증명서(단 1학년 재학생은 제외)○ 주민등록등본(반드시 주소변동사항 포함)○ 학생명의 보통예금통장 사본○ 2023년도 지방세 세목별 과세 증명서○ 2024년도 6월~8월 건강보험료 납부확인서○ 개인정보 수집·이용·제공 및 조회 동의서○ 소상공인 확인서류(2023년 기준)※ 자세한 사항은 첨부파일 참조","http://www.unsf.or.kr/","2024-09-23","2024-10-02"
"807 ","재단법인 경주시장학회","일반장학생","지자체(출자출연기관)","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ 직전학기 평점 3.0점 이상인 자","○ 부모 재산세(주택/토지/건축물) 50만원 이상 납부자","○ 200만원","해당없음","○ 공고일 현재 1년 이상 경주시 관내 거주자(부모 또는 학생)","○ 성적 50% + 생활정도 35%(재산세) + 경주시 거주기간 15%※ 가산점 있음※ 자세한 사항은 첨부파일 참고","○ 432명","○ 정규 학제 기간을 초과하여 재학 중인 자○ 공고일 현재 휴학 중 또는 예정이거나 정학/퇴학 등 징계처분 받은 자○ 1세대 1명 신청※ 자세한 사항은 첨부파일 참조","○ 총장 / 학장 / 학과장 중 1명이 추천한 자","○ 장학금 지원신청서○ 개인(신용)정보 수집·이용·제공 및 조회 동의서○ 재학증명서○ 성적증명서○ 가족관계증명서○ 주민등록초본○ 재산세 (미)과세 증명서○ 추가 증빙서류(해당자)※ 자세한 사항은 첨부파일 참조","http://janghak.gyeongju.go.kr","2024-09-23","2024-10-07"
"808 ","재단법인 경주시장학회","특기장학생","지자체(출자출연기관)","장학금","특기자","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","○ 200만원","○ 최근 1년 이내 도 단위 이상 규모 대회에서 3위 이내 수상(입상)한 자(2023.09.03 ~ 공고일 현재 기준 수상실적에 한함)○ 체육분야 장학생은 경주시 체육회장이 추천한 자","○ 공고일 현재 1년이상 경주시 관내 거주자(부모 또는 자녀대학생)","○ 동점일 경우 입상횟수/생활정도(재산세) 순","○ 총 18명","○ 정규 학제 기간을 초과하여 재학 중인 자○ 공고일 현재 휴학 중 또는 예정이거나 정학·퇴학 등 징계처분 받은 자○ 1세대 1인 신청","○ 총장 / 학장 / 학과장 중 1인이 추천한 자○ 체육분야 장학생 : 경주시 체육회장이 추천한 자","○ 장학금 지원신청서○ 개인(신용)정보 수집·이용·제공 및 조회 동의서○ 재학증명서○ 가족관계증명서○ 주민등록초본○ 재산세 (미)과세 증명서○ 각종 대회 입상 관련자료 (학교장/총·학장/경주시 체육회장 확인)※ 자세한 사항은 첨부파일 참조","http://janghak.gyeongju.go.kr","2024-09-23","2024-10-07"
"809 ","(재)충주시장학회","장학생","지자체(출자출연기관)","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ 신입생 : 수학능력 점수를 기준으로 상위득점자○ 재학생 : 직전학년 1·2학기 성적이 평균 3.70 학점 이상인 자","해당없음","○ 일반대학생: 300만원○ 전문대학생: 250만원","해당없음","○ 공고일 현재 1년 이상 충주시에 주소를 두고 거주하는 충주시민 자녀○ 관내 고등학교 졸업후 대학에 재학중인 자※ 고등학교가 관내가 아닌 특목고교등일 경우 관내 중학교 출신도 가능","※ 첨부파일 참조","○ 119명","○ 2024년도 본 장학회 장학금 수혜자○ 충북인재양성재단 합격자(25년도 상반기)○ 외국의 유학생 및 교환학생○ 휴학생 및 2025년 1학기 휴학예정자·대학원생○ 국적이 외국인 학생○ 육사·해사·공사·경찰대등에 재학중인 전액 국비지원을 받는 자※ 자세한 내용은 첨부파일 참고","해당없음","○ 장학생 신청서 (개인정보 수집·이용 동의서 포함)○ 성적증명서 1부 (2·3·4학년 재학생)○ 수학능력성적증명서 1부(1학년 신입생)○ 재학증명서 1부○ 장학금수혜증명서 (학교/한국장학재단) : 2023. 2학기 ~ 2024. 1학기 포함 1부○ 주민등록 등본 1부 (부모와 거주지 다를 시 가족관계증명서 첨부)○ 건강보험 납부확인서(미납부자는 자격득실확인서 제출) : 2023년도 부모 각1부※ 자세한 사항은 첨부파일 또는 홈페이지 공지사항 참고","http://www.chungju.go.kr","2025-03-31","2025-04-11"
"810 ","현대차 정몽구 재단","미래산업 인재 학부 장학생","기타","장학금","성적우수","4년제(5~6년제포함)/전문대(2~3년제)","대학3학기/대학4학기/대학5학기/대학6학기","공학계열/자연계열","○ 전체 학기 백분위 성적 90점 이상 (지원 분야 유관 전공 성적 우수자 우대대)","○ 가구 중위소득 150%이하 (한국장학재단 소득구간: 7구간 이하)","○ 등록금 전액 및 학습지원비 240만원(학기당)○ 국제 학술대회 장학금○ 해외 진출 장학생 장학금○ 온드림 글로벌 우수 장학금○ 재단 장학생 네트워킹 프로그램","○ 선발일 기준 대한민국 국적 보유자로서 재단 지정 대학 2/3학년 재학생 및 2025년 1학기 복학 예정자(재단 지정 대학은 첨부파일 또는 홈페이지 참조)○ 선발분야 : 지능정보 기술 / 바이오헬스 / 기후기술 및 에너지","해당없음","○ 서류심사○ 온라인 인적성 검사○ 전공 면접○ 인성 면접","※ 자세한 사항은 기관 담당자에 문의","○ 장학생 선발 이후 국가 장학금 및 타 기관의 학자금 대출 및 등록금 감면 형태의 모든 장학금 중복수혜 불가 (BK21 연구장학금/ RA/TA 장학금 등 예외사항 중복수혜 가능)○ 선발 후 재단/기업 명의 장학금 중복수혜 불가○ 2025년 하반기 기준 마지막 학기 재학생은 지원 불가","해당없음","○ 지원서/자기소개서○ 가족관계증명서○ 소득수준 심사 증빙서류○ 성적증명서○ 실적 증빙 자료※ 자세한 사항은 첨부파일 참고","http://www.cmkfoundationscholarship.org/","2025-03-24","2025-04-16"
"811 ","현대차 정몽구 재단","사회통합인재대학원장학생","기타","장학금","기타","일반대학원","박사과정/석사2학기이상/석사신입생(1학기)","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ 전체학기 백분위성적 90점 이상","해당없음","○ 등록금 전액 및 학습지원비 360만원○ 국제 학술대회 장학금○ 해외 진출 장학생 장학금○ 온드림 글로벌 우수 장학금○ 재단 장학생 네트워킹 프로그램","○ 석/박/석박사 통합과정 신입생 및 재학생(2024년 하반기 기준 마지막 학기 재학생은 지원불가)○ 탈북민 전형: 국내에 거주하는 북한이탈주민 또는 자녀○ 다문화 전형: 국내에 거주하는 국제결혼 가정 자녀/ 중도입국청소년으로 성장한 자○ 자립준비청년(보호종료 아동): 아동복지시설 및 가정위탁 보호종료아동","해당없음","○ 서류심사 > 온라인 인성검사 > 인성면접","※ 자세한 사항은 기관 담당자에 문의","○ 학자금 대출 및 등록금 감면 형태의 장학금 중복수혜 불가(BK21 연구장학금/ RA/TA 장학금 등 예외사항 중복수혜 가능)","○ 교수 추천","○ 지원서/자기소개서○ 가족관계증명서○ 소득수준 심사 증빙서류○ 성적증명서○ 지원자격 증빙 자료○ 학업/연구 계획서○ 연구논문실적서○ 교수추천서※ 자세한 사항은 기관 홈페이지 참조","http://www.cmkfoundationscholarship.org/","2024-03-25","2024-04-17"
"812 ","현대차 정몽구 재단","글로벌 장학생","기타","장학금","기타","특정대학","석사신입생(1학기)","특정학과","※ 자세한 사항은 기관 홈페이지 참조","해당없음","○ 등록금 전액지원○ 학습지원비 월 120만원○ 정착지원금 250만원(입국 시 최초 1회)○ 졸업격려금 100만원(최종 1회)","○ 서울대 2025년 2학기 석사·박사과정 또는 석박사 통합과정 신입생○ 경영·경제/미래산업 이공계(지능정보기술·바이오헬스·기후기술 및 에너지 유관 분야)/한국어·한국학/정책학·공공개발 전공자","○ 베트남·인도네시아·말레이시아·태국·필리핀·미얀마·캄보디아·라오스 국적자","○ 국제협력본부에서 서류심사를 통해 현대차 정몽구 글로벌 장학재단에 지원자 추천○ 현대차 정몽구 장학재단에서 추천 인원 면접심사를 통해 최종 선발","○ 2명","○ 제적되었을 경우○ 연속 2개 학기 평점평균이 기준에 미달했을 경우○ 휴학가능 기간을 (최대 1년) 초과하여 휴학했을 경우○ 학칙 및 규정을 위반하여 징계처분을 받았거나 정치활동을 한 경우","※ 자세한 사항은 기관 홈페이지 참조","○ 지원서○ 개인정보활용 동의서○ 성적증명서 및 졸업(예정)증명서 (석사과정 지원자는 학사 제출/박사과정 지원자는 학사·석사 모두 제출)○ 각종 경력증명서·어학증명서※ 자세한 사항은 기관 홈페이지 참조","https://www.cmkfoundationscholarship.org","2025-06-25","2025-07-11"
"813 ","김제시청","대학생학자금대출이자","지자체(출자출연기관)","학자금","지역연고","4년제(5~6년제포함)/기술대학/원격대학/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","○ 2024년도 7월~12월까지 발생한 대출 학자금의 이자 지원","○ 2016년 1월 이후 한국장학재단에서 취업후상환학자금 및 일반상환학자금 대출받은 자(등록금 및 생활비 대출)","○ 공고일 기준 현재 부모 또는 학생이 김제시에 주민등록이 되어 있는 대학 재학생","○ 온라인 신청","※ 기관확인 필요","○ 다른 기관으로부터 학자금 대출이자 명목으로 장학금 또는 학자금 이자 전액을 지원받는 경우○ 고등교육기관에서 제적된 경우○ 지원 대학생이 대학교를 졸업한 경우○ 대학원생","해당없음","○ 대학생 학자금 대출이자 지원신청서○ 부모 또는 본인 주민등록 등본 또는 초본○ 가족관계증명서○ 개인정보 수집·이용 및 제3자 제공 조회 동의서※ 주민등록번호 뒷자리는 보이지 않게 반드시 지우고 첨부※ 자세한 사항은 첨부자료 참고","http://www.gimje.go.kr","2025-03-10","2025-03-28"
"814 ","강북구청","복지장학금","지자체(출자출연기관)","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","○ 국민기초생활수급자○ 법정차상위계층○ 일반저소득층(기준중위소득 120%이하)","○ 200만원 (연 2회 분할지급)","○ 생활이 어려운 대학생○ 전국 소재 2년제 이상 대학 재학생으로 12학점 이상 이수자","○ 공고일을 기준으로 강북구 관내에 계속하여 1년 이상 주민등록 주소지를 두고 있는 주민 또는 주민의 자녀","○ 가구현황(50점) 성적(30점) 거주기간(10점) 자녀 수(10점)※ 2024년 1학기 본인부담금 100만원 이상 및 미수혜자 우선 선발","○ 40명","○ 장학생 또는 장학생 부모가 강북구 관외로 거주지 이전한 경우○ 장학생의 퇴학정학 또는 그 밖의 사유로 학업을 중단한 경우○ 1세대 당 1명만 신청가능","해당없음","○ 장학생 신청서○ 재학증명서○ 주민등록 등·초본○ 가족관계증명서(해당자)○ 개인정보 수집·이용 및 제3자 제공 동의서○ 행정정보 공동이용 사전동의서○ 성적증명서○ 소득증빙서류○ 통장사본(학생)※ 자세한 사항은 홈페이지  새소식  선발 공고 참고","http://www.gangbuk.go.kr","2024-04-29","2024-05-17"
"815 ","(재)논공효천장학회","일반장학생","지자체(출자출연기관)","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ (재학생) 직전 학기 성적 3.0/4.5/ 2.8/4.3 또는 2.5/4.0 이상○ (입학생) 수학능력평가점수 평균 5등급 이상/미응시자의 경우 6월 평가모의고사 평균 5등급 이상","○ 경제적 이유로 수학이 곤란한 자","○ 대학교(4년제) : 400만원○ 대학교(2~3년제) : 300만원","해당없음","○ 선발공고일 현재 논공읍에 등록기준지 또는 주소를 3년 이상 계속 두고 거주하고 있는 읍민과 그의 자녀","※ 기관확인 필요","○ 4년제 대학생 4명/2~3년제 대학생 2명","○ 방송통신대 및 사이버대학/학점은행제 기관 지원 불가○ 타 장학금 400만원 이상 또는 등록금 전액 수혜자 지원 불가○ 직전년도 효천장학금 수혜자 선발 제외 (수혜대상자가 없을 경우 선발 가능)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 논공읍장 및 이장/학교장","○ 장학생 선발신청서○ 논공읍장 및 이장/학교장 추천서○ 주민등록등본/주민등록초본○ 개인정보 동의서/신청인 서약서○ 2024년 건강보험료 납입증명서○ 2024년 지방세 세목별 과세증명서○ 교육비납입증명서○ 재학증명서○ 가족관계증명서(다자녀 가산점)○ (신입생) 수능성적표/(재학생)성적증명서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://dalseong.deagu.kr","2025-02-03","2025-02-28"
"816 ","(재)논공효천장학회","예/체능특기자","지자체(출자출연기관)","장학금","특기자","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","○ 대학교(4년제) : 300만원○ 대학교(2~3년제) : 200만원","○ 2년제 이상 대학생 및 대학입학예정자○ 시도단위 대회에서 우승자나 전국 대회에서의 3위 이내의 입상자 또는 국가대표선수로 선발된 실적이 있는 자","○ 선발 공고일 현재 대구시 달성군 논공읍에 등록기준지를 3년 이상 두고 있는 자 또는 논공읍에 주소를 3년 이상 계속 두고 있는 읍민과 그의 자녀","※ 기관확인 필요","○ 7명 내 선발","해당없음","해당없음","○ 공고문 안내 확인","http://dalseong.deagu.kr","2023-02-01","2023-02-28"
"817 ","(재)논공효천장학회","특별장학생(수능우수)","지자체(출자출연기관)","장학금","지역연고","해당없음","해당없음","해당없음","○ 수능점수 평균 2등급 이내","해당없음","○ 400만원","○ 4년제 대학 입학생","○ 선발공고일 현재 논공읍에 등록기준지 또는 주소를 3년 이상 계속 두고 거주하고 있는 읍민과 그의 자녀","※ 기관확인 필요","○ 2명","○ 방송통신대 및 사이버대학/학점은행제 기관 지원 불가○ 타 장학금 400만원 이상 또는 등록금 전액 수혜자 지원 불가○ 직전년도 효천장학금 수혜자 선발 제외 (수혜대상자가 없을 경우 선발 가능)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 논공읍장 및 이장/학교장","○ 장학생 선발신청서○ 논공읍장 및 이장/학교장 추천서○ 주민등록등본/주민등록초본○ 개인정보 동의서/신청인 서약서○ 2024년 건강보험료 납입증명서○ 2024년 지방세 세목별 과세증명서○ 교육비납입증명서○ 수능성적표○ 가족관계증명서(다자녀 가산점)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://dalseong.daegu.kr","2025-02-03","2025-02-28"
"818 ","(재)논공효천장학회","특별장학생(다자녀)","지자체(출자출연기관)","장학금","지역연고","해당없음","해당없음","해당없음","해당없음","해당없음","○ 400만원","○ 다자녀가구의 둘째 이상의 자녀","○ 선발공고일 현재 논공읍에 등록기준지 또는 주소를 3년 이상 계속 두고 거주하고 있는 읍민과 그의 자녀","※ 기관확인 필요","○ 2명","○ 방송통신대 및 사이버대학/ 학점은행제 기관 지원 불가○ 타 장학금 400만원 이상 또는 등록금 전액 수혜자 지원 불가○ 직전년도 효천장학금 수혜자 선발 제외 (수혜대상자가 없을 경우 선발 가능)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 논공읍장 및 이장/학교장","○ 장학생 선발신청서○ 논공읍장 및 이장/학교장 추천서○ 주민등록등본/주민등록초본○ 개인정보 동의서/신청인 서약서○ 2024년 건강보험료 납입증명서○ 2024년 지방세 세목별 과세증명서○ 교육비납입증명서○ 수능성적표○ 가족관계증명서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://dalseong.daegu.kr","2025-02-03","2025-02-28"
"819 ","삼성꿈장학재단","희망장학생","기타","장학금","성적우수","해당없음","해당없음","해당없음","해당없음","해당없음","○ 학기별 학습보조비(300만원)○ 단 등록금이 300만원 초과 시 등록금 전액 지원","○ 고등학교 졸업예정인 2024년 꿈장학생 중 자신의 학습 진로계획에 따라 열심히 노력하여 2025년 3월 대학 진학이 확정(예정)된 학생","해당없음","○ 서류평가 > 면담평가 > 최종심의","○ 140명 내외","※ 기관확인 필요","○ 멘토추천서","○ 온라인 신청서○ 증빙서류(경제상황/학업성과)※ 자세한 내용은 첨부파일 참고","https://www.sdream.or.kr/","2024-12-09","2025-01-06"
